model,dataset,clf,color_space,n_colors,test_loss,test_acc
resnet20_cifar10_gray64.h5,fashion_mnist,lr,gray,64,-,0.8694
resnet20_cifar10_gray64.h5,fashion_mnist,lr,gray,32,-,0.8674
resnet20_cifar10_gray64.h5,fashion_mnist,lr,gray,16,-,0.8621
resnet20_cifar10_gray64.h5,fashion_mnist,lr,gray,8,-,0.8507
resnet20_cifar10_gray8.h5,fashion_mnist,lr,gray,256,-,0.8726
resnet20_cifar10_gray8.h5,fashion_mnist,lr,gray,128,-,0.8729
resnet20_cifar10_gray8.h5,fashion_mnist,lr,gray,64,-,0.8718
resnet20_cifar10_gray8.h5,fashion_mnist,lr,gray,32,-,0.8706
resnet20_cifar10_gray8.h5,fashion_mnist,lr,gray,16,-,0.8684
resnet20_cifar10_gray8.h5,fashion_mnist,lr,gray,8,-,0.8595
resnet20_cifar10_rgb.h5,fashion_mnist,lr,rgb,256,-,0.8714
resnet20_cifar10_rgb.h5,fashion_mnist,lr,gray,256,-,0.871
resnet20_cifar10_rgb.h5,fashion_mnist,lr,gray,128,-,0.8665
resnet20_cifar10_rgb.h5,fashion_mnist,lr,gray,64,-,0.8656
resnet20_cifar10_rgb.h5,fashion_mnist,lr,gray,32,-,0.8681
resnet20_cifar10_rgb.h5,fashion_mnist,lr,gray,16,-,0.8588
resnet20_cifar10_rgb.h5,fashion_mnist,lr,gray,8,-,0.8477
simple_cifar10_gray128.h5,fashion_mnist,lr,gray,256,-,0.8413
simple_cifar10_gray128.h5,fashion_mnist,lr,gray,128,-,0.8362
simple_cifar10_gray128.h5,fashion_mnist,lr,gray,64,-,0.8399
simple_cifar10_gray128.h5,fashion_mnist,lr,gray,32,-,0.8363
simple_cifar10_gray128.h5,fashion_mnist,lr,gray,16,-,0.8305
simple_cifar10_gray128.h5,fashion_mnist,lr,gray,8,-,0.8232
simple_cifar10_gray16.h5,fashion_mnist,lr,gray,256,-,0.8302
simple_cifar10_gray16.h5,fashion_mnist,lr,gray,128,-,0.8337
