model,dataset,clf,color_space,n_colors,test_loss,test_acc
all_conv_cifar10_gray8.h5,cifar10,lr,gray,32,-,0.7992
all_conv_cifar10_gray8.h5,cifar10,cnn,gray,16,0.6213905291080475,0.7873
all_conv_cifar10_gray8.h5,cifar10,lr,gray,16,-,0.7964
all_conv_cifar10_gray8.h5,cifar10,cnn,gray,8,0.7265140174388885,0.7592
all_conv_cifar10_gray8.h5,cifar10,lr,gray,8,-,0.7732
all_conv_cifar10_rgb.h5,cifar10,cnn,rgb,256,0.4666187538862228,0.8476
all_conv_cifar10_rgb.h5,cifar10,lr,rgb,256,-,0.8457
all_conv_cifar10_rgb.h5,cifar10,cnn,gray,256,0.7632462059974671,0.7508
all_conv_cifar10_rgb.h5,cifar10,lr,gray,256,-,0.7691
all_conv_cifar10_rgb.h5,cifar10,cnn,gray,128,0.7652638787269592,0.7502
all_conv_cifar10_rgb.h5,cifar10,lr,gray,128,-,0.7682
all_conv_cifar10_rgb.h5,cifar10,cnn,gray,64,0.7711033546447754,0.7504
all_conv_cifar10_rgb.h5,cifar10,lr,gray,64,-,0.7659
all_conv_cifar10_rgb.h5,cifar10,cnn,gray,32,0.8036231684684754,0.7384
all_conv_cifar10_rgb.h5,cifar10,lr,gray,32,-,0.7583
all_conv_cifar10_rgb.h5,cifar10,cnn,gray,16,0.9649360703468323,0.6931
all_conv_cifar10_rgb.h5,cifar10,lr,gray,16,-,0.7249
all_conv_cifar10_rgb.h5,cifar10,cnn,gray,8,1.4222191486358642,0.6024
all_conv_cifar10_rgb.h5,cifar10,lr,gray,8,-,0.6382
resnet20_cifar10_gray128.h5,cifar10,cnn,gray,256,0.7750304233551025,0.8428
resnet20_cifar10_gray128.h5,cifar10,lr,gray,256,-,0.8778
resnet20_cifar10_gray128.h5,cifar10,cnn,gray,128,0.7806753761291504,0.8409
resnet20_cifar10_gray128.h5,cifar10,lr,gray,128,-,0.8765
resnet20_cifar10_gray128.h5,cifar10,cnn,gray,64,0.796714678478241,0.8372
resnet20_cifar10_gray128.h5,cifar10,lr,gray,64,-,0.872
resnet20_cifar10_gray128.h5,cifar10,cnn,gray,32,0.8708077562332154,0.8175
resnet20_cifar10_gray128.h5,cifar10,lr,gray,32,-,0.8595
resnet20_cifar10_gray128.h5,cifar10,cnn,gray,16,1.0700085208892822,0.7697
resnet20_cifar10_gray128.h5,cifar10,lr,gray,16,-,0.8273
resnet20_cifar10_gray128.h5,cifar10,cnn,gray,8,1.709043314743042,0.6421
resnet20_cifar10_gray128.h5,cifar10,lr,gray,8,-,0.7486
resnet20_cifar10_gray16.h5,cifar10,cnn,gray,256,0.8791241014480591,0.8242
resnet20_cifar10_gray16.h5,cifar10,lr,gray,256,-,0.8639
resnet20_cifar10_gray16.h5,cifar10,cnn,gray,128,0.8808429221153259,0.8244
resnet20_cifar10_gray16.h5,cifar10,lr,gray,128,-,0.8639
resnet20_cifar10_gray16.h5,cifar10,cnn,gray,64,0.8828042705535889,0.8246
resnet20_cifar10_gray16.h5,cifar10,lr,gray,64,-,0.8637
resnet20_cifar10_gray16.h5,cifar10,cnn,gray,32,0.9035588791847229,0.8178
resnet20_cifar10_gray16.h5,cifar10,lr,gray,32,-,0.859
resnet20_cifar10_gray16.h5,cifar10,cnn,gray,16,0.9835470078468322,0.7978
resnet20_cifar10_gray16.h5,cifar10,lr,gray,16,-,0.8495
resnet20_cifar10_gray16.h5,cifar10,cnn,gray,8,1.3020871904373168,0.722
resnet20_cifar10_gray16.h5,cifar10,lr,gray,8,-,0.7971
resnet20_cifar10_gray256.h5,cifar10,cnn,gray,256,0.8384061299800872,0.8296
resnet20_cifar10_gray256.h5,cifar10,lr,gray,256,-,0.8695
resnet20_cifar10_gray256.h5,cifar10,cnn,gray,128,0.8435506391525268,0.8283
resnet20_cifar10_gray256.h5,cifar10,lr,gray,128,-,0.8688
resnet20_cifar10_gray256.h5,cifar10,cnn,gray,64,0.866863435792923,0.8224
resnet20_cifar10_gray256.h5,cifar10,lr,gray,64,-,0.8663
resnet20_cifar10_gray256.h5,cifar10,cnn,gray,32,0.9593973072052002,0.7992
resnet20_cifar10_gray256.h5,cifar10,lr,gray,32,-,0.8521
resnet20_cifar10_gray256.h5,cifar10,cnn,gray,16,1.1397765490531921,0.755
resnet20_cifar10_gray256.h5,cifar10,lr,gray,16,-,0.8293
resnet20_cifar10_gray256.h5,cifar10,cnn,gray,8,1.8682979595184326,0.6265
resnet20_cifar10_gray256.h5,cifar10,lr,gray,8,-,0.765
resnet20_cifar10_gray32.h5,cifar10,cnn,gray,256,0.8708951214790345,0.823
resnet20_cifar10_gray32.h5,cifar10,lr,gray,256,-,0.8685
resnet20_cifar10_gray32.h5,cifar10,cnn,gray,128,0.8730415844917297,0.8227
resnet20_cifar10_gray32.h5,cifar10,lr,gray,128,-,0.8683
resnet20_cifar10_gray32.h5,cifar10,cnn,gray,64,0.8838407247543335,0.8195
resnet20_cifar10_gray32.h5,cifar10,lr,gray,64,-,0.8675
resnet20_cifar10_gray32.h5,cifar10,cnn,gray,32,0.9529991716384888,0.8054
resnet20_cifar10_gray32.h5,cifar10,lr,gray,32,-,0.8589
resnet20_cifar10_gray32.h5,cifar10,cnn,gray,16,1.2057817108154296,0.7519
resnet20_cifar10_gray32.h5,cifar10,lr,gray,16,-,0.8319
resnet20_cifar10_gray32.h5,cifar10,cnn,gray,8,1.8316700456619264,0.6455
resnet20_cifar10_gray32.h5,cifar10,lr,gray,8,-,0.7653
