model,dataset,clf,color_space,n_colors,test_loss,test_acc
resnet20_cifar10_gray64.h5,cifar100_coarse,lr,gray,256,-,0.5068
resnet20_cifar10_gray64.h5,cifar100_coarse,lr,gray,128,-,0.5081
resnet20_cifar10_gray64.h5,cifar100_coarse,lr,gray,64,-,0.5013
resnet20_cifar10_gray64.h5,cifar100_coarse,lr,gray,32,-,0.4888
resnet20_cifar10_gray64.h5,cifar100_coarse,lr,gray,16,-,0.4597
resnet20_cifar10_gray64.h5,cifar100_coarse,lr,gray,8,-,0.4068
resnet20_cifar10_gray8.h5,cifar100_coarse,lr,gray,256,-,0.4856
resnet20_cifar10_gray8.h5,cifar100_coarse,lr,gray,128,-,0.4775
resnet20_cifar10_gray8.h5,cifar100_coarse,lr,gray,64,-,0.4802
resnet20_cifar10_gray8.h5,cifar100_coarse,lr,gray,32,-,0.4758
resnet20_cifar10_gray8.h5,cifar100_coarse,lr,gray,16,-,0.4667
resnet20_cifar10_gray8.h5,cifar100_coarse,lr,gray,8,-,0.4514
resnet20_cifar10_rgb.h5,cifar100_coarse,lr,rgb,256,-,0.5699
resnet20_cifar10_rgb.h5,cifar100_coarse,lr,gray,256,-,0.4856
resnet20_cifar10_rgb.h5,cifar100_coarse,lr,gray,128,-,0.4901
resnet20_cifar10_rgb.h5,cifar100_coarse,lr,gray,64,-,0.4823
resnet20_cifar10_rgb.h5,cifar100_coarse,lr,gray,32,-,0.4774
resnet20_cifar10_rgb.h5,cifar100_coarse,lr,gray,16,-,0.454
resnet20_cifar10_rgb.h5,cifar100_coarse,lr,gray,8,-,0.3998
simple_cifar10_gray128.h5,cifar100_coarse,lr,gray,256,-,0.3516
simple_cifar10_gray128.h5,cifar100_coarse,lr,gray,128,-,0.3508
simple_cifar10_gray128.h5,cifar100_coarse,lr,gray,64,-,0.3478
simple_cifar10_gray128.h5,cifar100_coarse,lr,gray,32,-,0.3441
simple_cifar10_gray128.h5,cifar100_coarse,lr,gray,16,-,0.3322
simple_cifar10_gray128.h5,cifar100_coarse,lr,gray,8,-,0.3104
simple_cifar10_gray16.h5,cifar100_coarse,lr,gray,256,-,0.3628
simple_cifar10_gray16.h5,cifar100_coarse,lr,gray,128,-,0.3586
simple_cifar10_gray16.h5,cifar100_coarse,lr,gray,64,-,0.3644
simple_cifar10_gray16.h5,cifar100_coarse,lr,gray,32,-,0.363
simple_cifar10_gray16.h5,cifar100_coarse,lr,gray,16,-,0.3533
simple_cifar10_gray16.h5,cifar100_coarse,lr,gray,8,-,0.324
